id_plaza,region,gerencia,plaza,ntiendas
1,PACIFICO,GUERRERO,acapulco,2
2,NORTE - BAJIO,SLP-ZAC-AGS,aguascalientes,2
3,PACIFICO,LAS CALIFORNIAS,cabos,1
4,CENTRO-SUR,PENINSULA,campeche,1
5,CENTRO-SUR,PENINSULA,cancun,2
6,CENTRO-SUR,PENINSULA,cd del carmen,1
7,NORTE - BAJIO,GTO-QRO,celaya,1
8,CENTRO-SUR,PENINSULA,chetumal,1
9,CENTRO-SUR,SUR VER-TAB,coatzacoalcos,1
10,PACIFICO,JALISCO - COLIMA,colima,1
11,CENTRO-SUR,SUR VER-TAB,cordoba,1
12,CENTRO-SUR,PUE-TLAX-MOR,cuautla,1
13,CENTRO-SUR,PUE-TLAX-MOR,cuernavaca,2
14,PACIFICO,SONORA - SINALOA - NAYARIT,culiacan,2
15,CENTRO-SUR,METRO-HIDALGO,df,25
16,NORTE - BAJIO,COAHUILA-DURANGO,durango,1
17,PACIFICO,LAS CALIFORNIAS,ensenada,1
18,PACIFICO,JALISCO - COLIMA,guadalajara,8
19,PACIFICO,SONORA - SINALOA - NAYARIT,guasave,1
20,PACIFICO,SONORA - SINALOA - NAYARIT,guaymas,1
21,PACIFICO,SONORA - SINALOA - NAYARIT,hermosillo,2
22,NORTE - BAJIO,GTO-QRO,irapuato,1
23,PACIFICO,LAS CALIFORNIAS,la paz,1
24,NORTE - BAJIO,GTO-QRO,leon,2
25,PACIFICO,JALISCO - COLIMA,manzanillo,1
26,NORTE - BAJIO,TAMPS - VER NTE,matamoros,1
27,PACIFICO,SONORA - SINALOA - NAYARIT,mazatlan,1
28,CENTRO-SUR,PENINSULA,merida,2
29,CENTRO-SUR,ESTADO DE MEXICO,metepec & toluca,2
30,PACIFICO,LAS CALIFORNIAS,mexicali,2
31,PACIFICO,SONORA - SINALOA - NAYARIT,mochis,1
32,NORTE - BAJIO,COAHUILA-DURANGO,monclova,1
33,PACIFICO,MICHOACAN,morelia,2
34,NORTE - BAJIO,NUEVO LEON,mty,14
35,NORTE - BAJIO,TAMPS - VER NTE,n  laredo,1
36,PACIFICO,SONORA - SINALOA - NAYARIT,nogales,1
37,CENTRO-SUR,OAXACA - CHIAPAS,oaxaca,1
38,PACIFICO,SONORA - SINALOA - NAYARIT,obregon,1
39,CENTRO-SUR,METRO-HIDALGO,pachuca,1
40,NORTE - BAJIO,COAHUILA-DURANGO,piedras negras,1
41,CENTRO-SUR,PENINSULA,playa del carmen,1
42,NORTE - BAJIO,TAMPS - VER NTE,poza rica,1
43,CENTRO-SUR,PUE-TLAX-MOR,puebla,4
44,PACIFICO,JALISCO - COLIMA,puerto vallarta,2
45,NORTE - BAJIO,GTO-QRO,queretaro,5
46,NORTE - BAJIO,TAMPS - VER NTE,reynosa,1
47,PACIFICO,LAS CALIFORNIAS,rosarito,1
48,NORTE - BAJIO,GTO-QRO,salamanca,1
49,NORTE - BAJIO,COAHUILA-DURANGO,saltillo,2
50,NORTE - BAJIO,GTO-QRO,san juan,1
51,NORTE - BAJIO,SLP-ZAC-AGS,san luis,2
52,NORTE - BAJIO,TAMPS - VER NTE,tampico,2
53,CENTRO-SUR,OAXACA - CHIAPAS,tapachula,1
54,CENTRO-SUR,PUE-TLAX-MOR,tehuacan,1
55,PACIFICO,SONORA - SINALOA - NAYARIT,tepic,1
56,PACIFICO,LAS CALIFORNIAS,tijuana,4
57,CENTRO-SUR,PUE-TLAX-MOR,tlaxcala,1
58,NORTE - BAJIO,COAHUILA-DURANGO,torreon,2
59,CENTRO-SUR,OAXACA - CHIAPAS,tuxtla,1
60,PACIFICO,MICHOACAN,uruapan,1
61,CENTRO-SUR,SUR VER-TAB,veracruz,1
62,NORTE - BAJIO,TAMPS - VER NTE,victoria,1
63,CENTRO-SUR,SUR VER-TAB,villahermosa,1
64,CENTRO-SUR,SUR VER-TAB,xalapa,1
65,NORTE - BAJIO,SLP-ZAC-AGS,zacatecas,1
66,PACIFICO,MICHOACAN,zamora,1
